,Start,End,Time Series Start,Time Series End,Unit,Fuel classification,Pmax available,Pmax available after the outage,Reason,Last updated
90,2022-05-07T17:00:00+02:00,2022-05-09T10:15:00+02:00,2022-05-07T17:00:00+02:00,2022-05-09T10:15:00+02:00,PLATE-TAILLE 3 T,WA,36.0,0.0,FAILURE,2022-05-09T10:24:59+02:00
91,2022-05-07T08:00:00+02:00,2022-05-07T14:00:00+02:00,2022-05-07T08:00:00+02:00,2022-05-07T14:00:00+02:00,COO 4 T,WA,230.0,0.0,Test,2022-05-07T08:47:57+02:00
92,2022-05-06T17:34:00+02:00,2022-06-13T11:00:00+02:00,2022-05-06T17:34:00+02:00,2022-06-13T11:00:00+02:00,Aalst Syral GT,NG,43.0,0.0,Technical failure,2022-06-11T13:46:12+02:00
93,2022-05-06T16:00:00+02:00,2022-05-06T16:40:00+02:00,2022-05-06T16:00:00+02:00,2022-05-06T16:40:00+02:00,PLATE-TAILLE 3 T,WA,36.0,0.0,FAILURE,2022-05-06T16:40:40+02:00
94,2022-05-05T04:41:00+02:00,2022-05-05T05:30:00+02:00,2022-05-05T04:41:00+02:00,2022-05-05T05:30:00+02:00,SAINT-GHISLAIN STEG,NG,350.0,0.0,Start delay,2022-05-05T04:56:57+02:00
95,2022-05-03T10:30:00+02:00,2022-05-03T23:53:00+02:00,2022-05-03T10:30:00+02:00,2022-05-03T23:53:00+02:00,Zelzate 2 Knippegroen,Other,315.0,200.0,Awaiting information,2022-05-03T23:53:38+02:00
96,2022-05-01T17:00:00+02:00,2022-05-01T19:00:00+02:00,2022-05-01T17:00:00+02:00,2022-05-01T19:00:00+02:00,Zandvliet Power,NG,386.2,231.0,Awaiting information,2022-05-01T17:30:05+02:00
97,2022-05-01T05:02:00+02:00,2022-05-01T13:21:00+02:00,2022-05-01T05:02:00+02:00,2022-05-01T13:21:00+02:00,Aalst Syral GT,NG,43.0,0.0,Awaiting information,2022-05-01T13:21:21+02:00
98,2022-05-01T01:36:00+02:00,2022-05-01T05:24:00+02:00,2022-05-01T01:36:00+02:00,2022-05-01T05:24:00+02:00,RODENHUIZE 4,Other,268.0,0.0,Awaiting information,2022-05-01T05:24:15+02:00
99,2022-04-30T08:00:00+02:00,2022-04-30T18:00:00+02:00,2022-04-30T08:00:00+02:00,2022-04-30T18:00:00+02:00,Rentel Offshore WP,WI,307.0,272.0,Unforeseen outage of WTG + maintenance,2022-04-30T09:01:52+02:00
100,2022-04-29T17:57:00+02:00,2022-04-29T21:54:00+02:00,2022-04-29T17:57:00+02:00,2022-04-29T21:54:00+02:00,Aalst Syral GT,NG,43.0,0.0,Awaiting information,2022-04-29T21:55:03+02:00
101,2022-04-29T10:34:00+02:00,2022-04-30T14:03:00+02:00,2022-04-29T10:34:00+02:00,2022-04-30T14:03:00+02:00,DOEL 2,NU,445.0,386.0,Operational maintenance,2022-04-30T14:03:51+02:00
102,2022-04-29T07:30:00+02:00,2022-04-29T16:00:00+02:00,2022-04-29T07:30:00+02:00,2022-04-29T16:00:00+02:00,Noordschote TJ,LF,18.0,0.0,Overhaul,2022-05-06T22:11:51+02:00
103,2022-04-29T06:57:00+02:00,2022-04-29T19:14:00+02:00,2022-04-29T06:57:00+02:00,2022-04-29T19:14:00+02:00,Zelzate 2 Knippegroen,Other,315.0,125.0,Technical failure,2022-04-29T19:14:47+02:00
104,2022-04-27T22:08:00+02:00,2022-04-28T18:08:00+02:00,2022-04-27T22:08:00+02:00,2022-04-28T18:08:00+02:00,Zandvliet Power,NG,386.2,0.0,Awaiting information,2022-04-28T18:08:28+02:00
105,2022-04-27T17:16:00+02:00,2022-04-29T09:00:00+02:00,2022-04-27T17:16:00+02:00,2022-04-29T09:00:00+02:00,DOEL 2,NU,445.0,402.0,Operational delay startup,2022-04-29T04:28:38+02:00
106,2022-04-27T13:15:00+02:00,2022-04-27T17:15:00+02:00,2022-04-27T13:15:00+02:00,2022-04-27T17:15:00+02:00,DOEL 2,NU,445.0,121.0,start up,2022-04-27T17:13:20+02:00
107,2022-04-26T09:00:00+02:00,2022-05-03T13:17:00+02:00,2022-04-26T09:00:00+02:00,2022-05-03T13:17:00+02:00,Oud-Lillo Monsanto,NG,43.0,0.0,Technical failure,2022-05-03T13:17:57+02:00
108,2022-04-26T08:30:00+02:00,2022-04-26T16:30:00+02:00,2022-04-26T08:30:00+02:00,2022-04-26T16:30:00+02:00,Rentel Offshore WP,WI,307.0,272.0,Unforeseen outage of WTG + maintenance,2022-04-25T19:57:05+02:00
109,2022-04-25T16:44:00+02:00,2022-05-10T16:00:00+02:00,2022-04-25T16:44:00+02:00,2022-05-10T16:00:00+02:00,TIHANGE 2,NU,1008.0,900.0,Operational maintenance,2022-05-08T10:14:55+02:00
110,2022-04-21T19:07:00+02:00,2022-04-25T10:35:00+02:00,2022-04-21T19:07:00+02:00,2022-04-25T10:35:00+02:00,TIHANGE 2,NU,1008.0,900.0,Operational maintenance,2022-04-25T10:35:56+02:00
111,2022-04-20T15:16:00+02:00,2022-04-20T18:00:00+02:00,2022-04-20T15:16:00+02:00,2022-04-20T18:00:00+02:00,SAINT-GHISLAIN STEG,NG,350.0,0.0,Awaiting information,2022-04-20T15:17:06+02:00
112,2022-04-20T09:53:00+02:00,2022-04-20T11:26:00+02:00,2022-04-20T09:53:00+02:00,2022-04-20T11:26:00+02:00,Zwijndrecht Lanxess ST,NG,15.0,0.0,Awaiting information,2022-04-20T11:26:36+02:00
